id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
allclose/f64/1000000,comparison,allclose,1000000,N/A,26962050.0,2195437.5,0.08142695010208793,cnumpy,0.1801689757263035,0.0795988507990858,37500020.0,2561641.8749999995
angle/f64/1000,unary,angle,1000,N/A,11400.0732421875,19608.837890625,1.7200624482007594,NumPy,0.06777193206143213,0.10395495572232008,12497.61474609375,22468.6962890625
angle/f64/10000,unary,angle,10000,N/A,87095.41015625,34430.224609375,0.3953161773692419,cnumpy,0.09755023482075614,0.12415155112799696,103963.24218749999,42120.56640624999
angle/f64/100000,unary,angle,100000,N/A,924201.5625,263610.546875,0.2852305790978361,cnumpy,0.13556519848920803,0.0761985623506152,1141352.4999999998,294314.21875
angle/f64/1000000,unary,angle,1000000,N/A,12882675.0,3071281.25,0.23840399994566347,cnumpy,0.1477486289942977,0.08172484959475394,15657137.499999998,3525380.0
arange/f64/1000,creation,arange,1000,N/A,1930.5938720703125,15434.47265625,7.994676083633541,NumPy,0.11539780995040157,0.0704783745289446,2406.1688232421875,17615.2587890625
arange/f64/10000,creation,arange,10000,N/A,7756.45751953125,18051.416015625,2.3272758176229797,NumPy,0.13734224746356094,0.072215497650874,10275.385742187496,20755.781249999993
arange/f64/100000,creation,arange,100000,N/A,81408.88671875,82305.56640625,1.0110145184836863,NumPy,0.15771700111861273,0.07416186159694639,98083.0078125,91097.20703124999
arange/f64/1000000,creation,arange,1000000,N/A,2269993.75,2159212.5,0.9511975528566984,cnumpy,0.18706146986479455,0.08558607909537895,3316457.4999999995,2559137.5
argmax/f64/1000,reduction,argmax,1000,numpy-1.25/task6-reduction-v1,1582.92236328125,8552.7587890625,5.403144833542835,NumPy,0.13073370713424332,0.06401411220332816,2058.302001953125,9621.760253906248
argmax/f64/10000,reduction,argmax,10000,numpy-1.25/task6-reduction-v1,4698.968505859375,27048.779296875,5.756322746821254,NumPy,0.13490936252050506,0.05635989991692922,6227.691650390624,29301.953125
argmax/f64/100000,reduction,argmax,100000,numpy-1.25/task6-reduction-v1,33794.775390625,205165.0390625,6.0709099762034455,NumPy,0.10264415807189711,0.05525564016161512,39250.478515625,220472.7734375
