id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
fmin/f64/100000,binary,fmin,100000,N/A,105983.984375,139307.03125,1.3144158720915233,NumPy,0.1624681747149183,0.09228052828125366,144047.265625,155967.4609375
fmin/f64/1000000,binary,fmin,1000000,N/A,5431125.0,3046662.5,0.5609634283873046,cnumpy,0.09491121623154614,0.10851711737917513,6672095.0,3500621.25
gcd/i64/1000,integer,gcd,1000,N/A,27339.453125,49566.50390625,1.8130027575761904,NumPy,0.051943583575354425,0.15188276007814686,29161.552734375,59569.92187499999
gcd/i64/10000,integer,gcd,10000,N/A,401768.75,499967.1875,1.2444153197579453,NumPy,0.1048507382775457,0.06964818313403828,486437.49999999994,551930.3125
gcd/i64/100000,integer,gcd,100000,N/A,4112225.0,4445787.5,1.081114846585486,NumPy,0.09941691273543245,0.08844392898359203,5018840.0,5167086.25
gcd/i64/1000000,integer,gcd,1000000,N/A,39629200.0,41412100.0,1.0449895531577726,NumPy,0.05448808093812755,0.05014420548396685,43126050.0,45189490.0
heaviside/f64/1000,binary,heaviside,1000,N/A,4721.435546875,19218.798828125,4.070541393039971,NumPy,0.06993839674293782,0.0596929449047633,5431.42822265625,19854.3505859375
heaviside/f64/10000,binary,heaviside,10000,N/A,37448.92578125,35181.25,0.9394461727822008,cnumpy,0.07203794816918777,0.1078180793259641,42995.03906249999,39471.4453125
heaviside/f64/100000,binary,heaviside,100000,N/A,396459.375,213899.21875,0.5395236743991739,cnumpy,0.18108242231014837,0.1001670858229042,595238.28125,250897.65625
heaviside/f64/1000000,binary,heaviside,1000000,N/A,5810525.0,3199100.0,0.55056987105296,cnumpy,0.051311475179286956,0.0702565629274929,6312937.5,3386125.0
imag/f64/1000,unary,imag,1000,N/A,1150.79345703125,18762.79296875,16.304222842171143,NumPy,0.07495006245313786,0.09281869278340169,1321.270751953125,21504.892578125
imag/f64/10000,unary,imag,10000,N/A,5110.15625,20928.80859375,4.095532028741783,NumPy,0.054510624699218614,0.12292512751236032,5430.6201171875,25893.544921875
imag/f64/100000,unary,imag,100000,N/A,45504.4921875,24361.9140625,0.5353738255580879,cnumpy,0.05556073386406284,0.12040326793470979,49765.703125,27685.37109375
imag/f64/1000000,unary,imag,1000000,N/A,48627.734375,54514.84375,1.1210648501449951,NumPy,0.038618502313927626,0.11331164257197664,51957.3046875,67438.2421875
in1d_duplicates/f64/10000,set,in1d_duplicates,10000,numpy-1.25/task7-sort-set-v1,909390.625,705365.625,0.7756464665555575,cnumpy,0.14469926001890548,0.14773322766792532,1243017.4999999998,854827.4999999999
in1d_duplicates/f64/1000000,set,in1d_duplicates,1000000,numpy-1.25/task7-sort-set-v1,162053000.0,64146200.0,0.3958346960562285,cnumpy,0.09313207246344413,0.059659984873732606,187611240.0,71253390.0
intersect1d_duplicates/f64/10000,set,intersect1d_duplicates,10000,numpy-1.25/task7-sort-set-v1,515659.375,1231368.75,2.3879498942494743,NumPy,0.049208398014062224,0.15046070371064418,558387.96875,1628108.125
intersect1d_duplicates/f64/1000000,set,intersect1d_duplicates,1000000,numpy-1.25/task7-sort-set-v1,49672700.0,146296600.0,2.945211353520143,NumPy,0.059521915328055064,0.11046269199786289,56615600.0,179499679.99999997
inv/f64/128x128,linalg,inv,128x128,N/A,108120600.0,7138725.0,0.06602557699457828,cnumpy,0.15592417976682402,0.1424319736745473,143031429.99999997,8897544.999999998
inv/f64/32x32,linalg,inv,32x32,N/A,4871412.5,162537.5,0.033365579285268905,cnumpy,0.14657979150456749,0.12900614945537378,6029879.999999998,191949.84375
inv/f64/512x512,linalg,inv,512x512,N/A,730758000.0,467018500.0,0.6390877691383468,cnumpy,0.11833662279262448,0.06345433127140158,907174850.0,535016690.0
invert/i64/1000,bitwise,invert,1000,N/A,2087.457275390625,19889.453125,9.528076746518366,NumPy,0.03558801689621067,0.12280449589942856,2244.488525390625,23394.7265625
invert/i64/10000,bitwise,invert,10000,N/A,15315.13671875,21336.9140625,1.3931912234500436,NumPy,0.10896809496326934,0.09992269186889192,17842.177734375,25238.916015625
invert/i64/100000,bitwise,invert,100000,N/A,124476.5625,100328.90625,0.8060064018075692,cnumpy,0.06572423458358413,0.12028845634895276,142470.078125,125575.3515625
invert/i64/1000000,bitwise,invert,1000000,N/A,3635987.5,2678818.75,0.7367513639692106,cnumpy,0.037946947887747134,0.07627436773801045,3860403.75,2962368.125
iscomplexobj/f64/1000,logical,iscomplexobj,1000,N/A,547.3968505859375,6239.306640625,11.39814128259306,NumPy,0.074312711951145,0.09749261108539618,626.7166137695311,6976.923828125
iscomplexobj/f64/10000,logical,iscomplexobj,10000,N/A,664.2623901367188,6004.3701171875,9.039154114914858,NumPy,0.0799408607183653,0.095238446696944,729.3392944335936,6953.16650390625
iscomplexobj/f64/100000,logical,iscomplexobj,100000,N/A,565.8233642578125,6167.1142578125,10.899363029842133,NumPy,0.10491448713473671,0.10756563511802249,683.9608764648436,7220.603027343749
iscomplexobj/f64/1000000,logical,iscomplexobj,1000000,N/A,598.2986450195312,6449.12109375,10.779100282835289,NumPy,0.111463151944382,0.18251743499304665,702.8605651855468,9261.69677734375
isfinite/f64/1000,logical,isfinite,1000,N/A,1244.39697265625,25940.8203125,20.846097252332232,NumPy,0.15130907822192144,0.13841558444268662,1685.6225585937495,33880.087890625
isfinite/f64/10000,logical,isfinite,10000,N/A,4975.25634765625,28547.4609375,5.737887445929932,NumPy,0.16039386000492414,0.2362583445994801,6926.982421874999,40487.705078124985
