id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
argsort/f64/100000,sorting,argsort,100000,numpy-1.25/task7-sort-set-v1,8705950.0,16014350.0,1.8394718554551772,NumPy,0.09137651890113861,0.0670975934200895,10362714.999999998,18234670.0
argsort/f64/1000000,sorting,argsort,1000000,numpy-1.25/task7-sort-set-v1,100412500.0,207418400.0,2.065663139549359,NumPy,0.06041842321786645,0.05558805878665311,109947510.0,225638320.0
argsort_heapsort/f64/10000,sorting,argsort_heapsort,10000,numpy-1.25/task7-sort-set-v1,1178775.0,2120375.0,1.7987953595894042,NumPy,0.10106379243895111,0.08715868785513547,1354518.1249999998,2485478.1249999995
argsort_heapsort/f64/1000000,sorting,argsort_heapsort,1000000,numpy-1.25/task7-sort-set-v1,368056300.0,644928700.0,1.752255565249121,NumPy,0.05095799694498354,0.09401549737081344,394980970.0,753498910.0
argsort_mergesort/f64/10000,sorting,argsort_mergesort,10000,numpy-1.25/task7-sort-set-v1,443576.5625,372989.0625,0.8408673812652128,cnumpy,0.10697220237418827,0.07221520695718964,512929.21874999994,418770.0
argsort_mergesort/f64/1000000,sorting,argsort_mergesort,1000000,numpy-1.25/task7-sort-set-v1,73647400.0,37115400.0,0.5039607643990147,cnumpy,0.0842523332282742,0.019068920559942186,87435740.0,37743860.0
argsort_stable/f64/10000,sorting,argsort_stable,10000,numpy-1.25/task7-sort-set-v1,440051.5625,331173.4375,0.7525787105914434,cnumpy,0.08863920827768124,0.0769286507643796,476948.74999999994,370118.125
argsort_stable/f64/1000000,sorting,argsort_stable,1000000,numpy-1.25/task7-sort-set-v1,81478700.0,38646400.0,0.4743129185909937,cnumpy,0.08692422129976411,0.036934067811682444,94091180.0,40654140.0
argsort_stable_nan/f64/10000,sorting,argsort_stable_nan,10000,numpy-1.25/task7-sort-set-v1,262012.5,323828.125,1.2359262439769094,NumPy,0.1268853483803814,0.0535093727503338,319057.03124999994,349585.78125
argsort_stable_nan/f64/1000000,sorting,argsort_stable_nan,1000000,numpy-1.25/task7-sort-set-v1,55137600.0,35984200.0,0.6526254316473695,cnumpy,0.07783287671547034,0.07529640788830672,63248510.0,41120989.99999999
